movie_id,title,tmdb_id,tmdb_title,overview,release_date,vote_average,vote_count,popularity,poster_url,cast,tmdb_genres
1,Toy Story (1995),862,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstan",1995-11-22,7.978,19999,135.5546,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"Tom Hanks, Tim Allen, Don Rickles","10751, 35, 16, 12"
2,GoldenEye (1995),710,GoldenEye,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",1995-11-16,6.902,4350,6.2422,https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,"Pierce Brosnan, Sean Bean, Izabella Scorupco","12, 28, 53"
3,Four Rooms (1995),5,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one ,1995-12-09,5.907,2857,3.5378,https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,"Tim Roth, Jennifer Beals, David Proval",35
4,Get Shorty (1995),8012,Get Shorty,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the rom",1995-10-20,6.504,1217,3.2926,https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,"John Travolta, Gene Hackman, Rene Russo","35, 53, 80"
5,Copycat (1995),1710,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,1995-10-27,6.476,1295,2.1001,https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg,"Sigourney Weaver, Holly Hunter, Dermot Mulroney","53, 80, 9648"
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),37557,Shanghai Triad,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatene",1995-09-14,6.8,112,0.9936,https://image.tmdb.org/t/p/w500/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,"Gong Li, Li Baotian, Sun Chun","18, 80"
7,Twelve Monkeys (1995),63,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivor",1995-12-29,7.608,9156,6.1953,https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,"Bruce Willis, Madeleine Stowe, Brad Pitt","878, 53, 9648"
8,Babe (1995),9598,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he ",1995-07-18,6.279,3132,5.8159,https://image.tmdb.org/t/p/w500/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,"Christine Cavanaugh, Miriam Margolyes, Danny Mann","14, 18, 35, 10751"
9,Dead Man Walking (1995),687,Dead Man Walking,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,1995-12-29,7.326,1507,2.521,https://image.tmdb.org/t/p/w500/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,"Susan Sarandon, Sean Penn, Robert Prosky",18
10,Richard III (1995),31174,Richard III,"Having helped his brother King Edward IV take the throne of England, the jealous hunchback Richard, Duke of Gloucester, plots to seize power for himself. Masterfully deceiving and plotting against nea",1995-12-29,6.8,195,1.4298,https://image.tmdb.org/t/p/w500/cBg1AMH1ucPsDlNMfcHlrreQXQX.jpg,"Ian McKellen, Annette Bening, Jim Broadbent","18, 10752"
11,Seven (Se7en) (1995),807,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one",1995-09-22,8.382,23205,22.2213,https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow","80, 9648, 53"
12,"Usual Suspects, The (1995)",629,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners int",1995-07-19,8.2,11462,11.3589,https://image.tmdb.org/t/p/w500/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,"Stephen Baldwin, Gabriel Byrne, Benicio del Toro","18, 80, 53"
13,Mighty Aphrodite (1995),11448,Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when h",1995-09-13,6.734,744,1.7147,https://image.tmdb.org/t/p/w500/ice135yQZp4iX2SgCmd90nKgS5j.jpg,"Woody Allen, Mira Sorvino, Helena Bonham Carter","35, 10749"
14,"Postino, Il (1994)",11010,The Postman,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,1994-09-22,7.919,1221,1.8555,https://image.tmdb.org/t/p/w500/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,"Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta","35, 18, 10749"
15,Mr. Holland's Opus (1995),2054,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades",1995-12-29,6.964,455,1.7677,https://image.tmdb.org/t/p/w500/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,"Richard Dreyfuss, Glenne Headly, Jay Thomas","18, 10402"
16,French Twist (Gazon maudit) (1995),4482,French Twist,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",1995-01-18,6.076,327,2.6519,https://image.tmdb.org/t/p/w500/xlLnHizshGBwMiNrnop2kg2nYzE.jpg,"Victoria Abril, Josiane Balasko, Alain Chabat","35, 10749"
17,From Dusk Till Dawn (1996),755,From Dusk Till Dawn,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious clientele.",1996-01-19,7.043,6519,8.9553,https://image.tmdb.org/t/p/w500/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,"George Clooney, Quentin Tarantino, Harvey Keitel","27, 28, 80"
18,"White Balloon, The (1995)",46785,The White Balloon,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,1995-01-02,7.463,122,0.3707,https://image.tmdb.org/t/p/w500/bamJR4MwtQDMdWkjVAPojfwOjY4.jpg,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadr Orafaee","18, 10751"
19,Antonia's Line (1995),880,Antonia's Line,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly",1995-09-21,6.9,144,1.0812,https://image.tmdb.org/t/p/w500/nUCVi6bBIL7LGC61nYaCqikAhIA.jpg,"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen","18, 35"
20,Angels and Insects (1995),8447,Angels and Insects,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaste",1995-09-10,6.2,57,1.7057,https://image.tmdb.org/t/p/w500/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit","18, 10749"
